key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
,,,,,,,,,,,,,,,,,,,74_23.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.495370365,-0.330555624,1,0,0,,,2,0.118000031,1,0,28,22,1,27,74.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,39_12.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.495370365,-0.330555624,1,0,0,,,2,0.122999907,1,0,28,11,1,27,39.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2_6.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.396296289,-0.335185254,1,0,0,,,3,0.112999916,1,0,28,5,1,27,2.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,71_22.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.190740757,-0.313888901,1,0,0,,,9,0.150000095,1,0,28,21,1,27,71.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4_13.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.299074065,-0.333333346,1,0,0,,,4,0.164999962,1,0,28,12,1,27,4.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,47_17.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.403703696,-0.331481494,1,0,0,,,3,0.121999979,1,0,28,16,1,27,47.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,43_15.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.090740755,-0.331481494,1,0,0,,,8,0.115999937,1,0,28,14,1,27,43.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,64_19.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.090740755,-0.331481494,1,0,0,,,8,0.13499999,1,0,28,18,1,27,64.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,23_9.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.090740755,-0.331481494,1,0,0,,,8,0.118000031,1,0,28,8,1,27,23.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,50_18.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.109259191,-0.328703716,1,0,0,,,6,0.125999928,1,0,28,17,1,27,50.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,129_4.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.399074067,-0.335185254,1,0,0,,,3,0.121999979,1,0,28,3,1,27,129.png,,,,,,,,,,,,,,,,,,,,,,,,,,
